Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
1,Jahmyr Gibbs,RB,1,Detroit Lions,47.5,475.5,2.5,1050.5,10.5,0,0,6,248.35,1
2,Bijan Robinson,RB,2,Atlanta Falcons,52.5,425.5,2.5,1175.5,10.5,0,0,6,258.35,1
3,Ja'Marr Chase,WR,1,Cincinnati Bengals,105.5,1300.5,10.5,0,0,0,0,4,241.8,1
4,Puka Nacua,WR,2,Los Angeles Rams,92.5,1200.5,5.5,0,0.5,0,0,4,198.3,1
5,Jaxon Smith-Njigba,WR,3,Seattle Seahawks,80.5,975.5,5.5,0,0,0,0,4,166.8,1
6,Amon-Ra St. Brown,WR,4,Detroit Lions,97.5,1075.5,8.5,0,0,0,0,4,203.3,1
7,James Cook,RB,3,Buffalo Bills,25.5,200.5,1.5,950.5,8.5,0,0,6,181.85,1
8,Jonathan Taylor,RB,4,Indianapolis Colts,20.5,175.5,0.5,1225.5,9.5,0,0,6,204.35,1
9,Christian McCaffrey,RB,5,San Francisco 49ers,55.5,499.5,3.5,950.5,7.5,0,0,6,232.75,1
10,CeeDee Lamb,WR,5,Dallas Cowboys,97.5,1175.5,7.5,0,0,0,0,4,207.3,1
11,Ashton Jeanty,RB,6,Las Vegas Raiders,35.5,225.5,1.5,1050.5,7.5,0,0,6,193.35,2
12,Chase Brown,RB,7,Cincinnati Bengals,45.5,325.5,2,875.5,5.5,0,0,6,181.85,2
13,Justin Jefferson,WR,6,Minnesota Vikings,92.5,1200.5,9.5,0,0,0,0,4,219.3,1
14,Saquon Barkley,RB,8,Philadelphia Eagles,27.5,275.5,1.5,1450.5,11.5,0,0,6,258.35,2
15,De'Von Achane,RB,9,Miami Dolphins,65,475,4.5,925.5,7.5,0,0,6,238.55,2
16,Drake London,WR,7,Atlanta Falcons,82.5,1075.5,7.5,0,0,0,0,4,189.8,2
17,Omarion Hampton,RB,10,Los Angeles Chargers,30.5,175.5,1,850.5,6.5,0,0,6,156.85,2
18,Kenneth Walker III,RB,11,Kansas City Chiefs,37.5,325.5,0.5,875.5,6.5,0,0,6,174.85,2
19,A.J. Brown,WR,8,New England Patriots,72.5,1100.5,7.5,0,0,0,0,4,187.3,2
20,Nico Collins,WR,9,Houston Texans,77.5,1125.5,6.5,0,0,0,0,4,186.3,2
21,Brock Bowers,TE,1,Las Vegas Raiders,95.5,1000.5,5,0,0,0,0,4,173.8,1
22,Derrick Henry,RB,12,Baltimore Ravens,20,175,0.5,1350.5,13.5,0,0,6,240.55,3
23,Trey McBride,TE,2,Arizona Cardinals,85.5,925.5,4.5,0,0,0,0,4,158.3,1
24,Rashee Rice,WR,10,Kansas City Chiefs,62.5,875.5,5.5,0,0,0,0,4,147.8,2
25,George Pickens,WR,11,Dallas Cowboys,57.5,875.5,5.5,0,0,0,0,4,145.3,2
26,Josh Jacobs,RB,13,Green Bay Packers,32.5,275.5,0.5,1050.5,9.5,0,0,6,202.85,3
27,Josh Allen,QB,1,Buffalo Bills,0,0,0,475.5,10.5,3750.5,27.5,20,350.57,1
28,Tee Higgins,WR,12,Cincinnati Bengals,72.5,975.5,7.5,0,0,0,0,4,174.8,3
29,Malik Nabers,WR,13,New York Giants,92.5,1125.5,7.5,0,0,0,0,4,199.8,3
30,Chris Olave,WR,14,New Orleans Saints,65.5,850.5,3.5,0,0,0,0,4,134.8,3
31,Emeka Egbuka,WR,15,Tampa Bay Buccaneers,60.5,825.5,4.5,0,0,0,0,4,135.8,3
32,Kyren Williams,RB,14,Los Angeles Rams,27.5,150.5,1,1000.5,10.5,0,0,6,191.85,3
33,Jeremiyah Love,RB,15,Arizona Cardinals,,,,,,,,,,3
